x;y;V
680102;7182481;519
680102;7184410;520
680114;7182066;521
680115;7182445;522
680118;7183185;523
680120;7182602;524
680121;7182792;525
680122;7182981;526
680124;7183756;527
680126;7183567;528
680127;7183945;529
680129;7184135;530
680130;7184324;531
680131;7184515;532
680132;7181809;533
680133;7184692;534
680134;7182396;535
680140;7181967;536
680145;7181574;537
680151;7182331;538
680154;7183482;539
680155;7183859;540
680158;7184239;541
680162;7181331;542
680167;7181865;543
680175;7182238;544
680176;7183204;545
680177;7182621;546
680178;7181821;547
680178;7182999;548
680182;7183395;549
680182;7183774;550
680184;7183964;551
680186;7184153;552
680188;7184534;553
680195;7182563;554
680197;7181825;555
680200;7182548;556
680203;7181600;557
680206;7182914;558
680206;7183311;559
680212;7182514;560
680213;7181369;561
680213;7182090;562
680219;7181277;563
680221;7182474;564
680224;7184709;565
680232;7182421;566
680234;7182829;567
680234;7183223;568
680236;7183018;569
680237;7181990;570
680241;7183605;571
680241;7183982;572
680243;7184172;573
680244;7184362;574
680244;7184363;575
680247;7184551;576
680249;7182356;577
680251;7184716;578
680261;7181626;579
680262;7181841;580
680263;7183128;581
680264;7181406;582
680264;7181888;583
680264;7181889;584
680269;7183519;585
680269;7183897;586
680271;7182262;587
680272;7184276;588
680275;7181844;589
680286;7184727;590
680290;7182658;591
680292;7183037;592
680298;7183429;593
680298;7183812;594
680298;7184001;595
680300;7184191;596
680300;7184381;597
680303;7184570;598
680308;7182115;599
680309;7181449;600
680317;7181438;601
680318;7181653;602
680318;7182575;603
680320;7182952;604
680324;7182555;605
680326;7181857;606
680328;7184105;607
680333;7182446;608
680333;7182532;609
680337;7182522;610
680344;7182498;611
680348;7181502;612
680348;7182866;613
680349;7182382;614
680349;7183255;615
680355;7183642;616
680355;7184019;617
680356;7182021;618
680357;7182452;619
680358;7184400;620
680366;7184752;621
680374;7182288;622
680375;7181678;623
680378;7183166;624
680385;7184313;625
680387;7181556;626
680388;7182046;627
680390;7181873;628
680402;7181877;629
680403;7182884;630
680404;7182694;631
680406;7183075;632
680410;7182141;633
680410;7183849;634
680411;7184038;635
680413;7183466;636
680413;7184607;637
680414;7184227;638
680425;7181608;639
680427;7184762;640
680430;7182619;641
680432;7181705;642
680433;7182046;643
680442;7184142;644
680448;7182562;645
680452;7182547;646
680454;7181890;647
680458;7181951;648
680460;7182713;649
680462;7182903;650
680463;7181661;651
680466;7183291;652
680466;7183867;653
680467;7183679;654
680468;7181314;655
680468;7184056;656
680470;7181894;657
680470;7182312;658
680470;7182491;659
680470;7184436;660
680471;7184625;661
680472;7184246;662
680488;7181309;663
680490;7181731;664
680492;7184758;665
680494;7182417;666
680495;7183593;667
680506;7181069;668
680507;7182165;669
680515;7182570;670
680516;7182732;671
680516;7182921;672
680519;7181906;673
680521;7183112;674
680523;7183886;675
680526;7183503;676
680526;7184264;677
680527;7184454;678
680528;7184644;679
680529;7184075;680
680530;7182070;681
680530;7182071;682
680531;7182509;683
680541;7182655;684
680547;7181757;685
680550;7182432;686
680552;7183801;687
680555;7181975;688
680555;7184753;689
680564;7182585;690
680566;7181027;691
680570;7182586;692
680572;7183519;693
680573;7182338;694
680573;7182751;695
680574;7182940;696
680580;7183329;697
680581;7181820;698
680581;7183716;699
680583;7184284;700
